"","Eli_repA_tech1.sorted.bam","Eli_repB_tech1.2.sorted.bam","Eli_repC_tech1.sorted.bam","Elizabeth_repA_tech1.sorted.bam","Elizabeth_repB_tech1.2.sorted.bam","Elizabeth_repC_tech1.sorted.bam","Eric_repA_tech1.sorted.bam","Eric_repB_tech1.2.sorted.bam","Eric_repC_tech1.sorted.bam","Ethan_repA_tech1.sorted.bam","Ethan_repB_tech1.2.sorted.bam","Ethan_repC_tech1.sorted.bam"
"NM_000015",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000018",1728,3480,4121,1303,3093,563,1529,1923,661,2163,3205,1536
"NM_000019",488,575,844,505,825,201,659,542,207,690,811,557
"NM_000020",0,0,0,4,6,0,2,2,0,1,8,3
"NM_000021",1102,1184,1971,908,1269,382,1172,732,469,1282,1209,881
"NM_000022",783,1644,2103,1274,2480,643,921,1115,494,2079,3123,1264
"NM_000025",0,0,1,0,0,0,3,1,0,1,0,0
"NM_000029",0,0,0,0,0,0,1,0,0,0,0,0
"NM_000030",0,0,0,0,0,0,0,0,0,0,0,1
"NM_000035",1,2,0,0,0,0,0,1,0,0,1,0
"NM_000040",0,0,0,0,2,0,0,0,0,0,0,0
"NM_000042",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000046",357,297,583,175,184,55,186,79,65,390,231,231
"NM_000048",399,1022,706,239,803,121,267,483,130,294,710,318
"NM_000049",1,3,5,19,14,4,8,6,4,9,12,8
"NM_000050",50,290,314,10,34,4,27,51,16,21,23,9
"NM_000059",691,483,3198,996,919,251,786,643,730,820,880,1602
"NM_000062",0,0,0,0,0,0,0,0,1,0,0,0
"NM_000064",61,25,147,49,36,26,41,12,28,46,6,56
"NM_000066",0,0,0,0,0,0,0,0,0,1,0,0
"NM_000067",62,37,90,37,37,10,30,22,4,52,32,55
"NM_000069",1,1,8,0,0,0,1,0,0,0,0,0
"NM_000073",1,0,1,0,0,0,0,1,1,1,0,0
"NM_000075",953,1940,1917,729,1766,433,947,1214,369,1394,2075,1055
"NM_000078",67,166,259,159,197,33,63,66,42,88,136,71
"NM_000079",0,0,1,0,0,0,0,0,0,0,0,0
"NM_000080",8,7,25,4,3,1,5,4,7,5,2,1
"NM_000082",214,212,484,257,272,41,287,179,93,286,286,264
"NM_000083",0,0,1,2,3,1,0,0,2,5,7,2
"NM_000085",0,1,0,0,0,0,9,0,0,0,0,0
"NM_000087",58,30,114,16,2,1,39,10,13,12,7,2
"NM_000088",108,43,210,101,33,37,84,11,55,102,36,59
"NM_000089",0,0,0,1,0,0,0,1,2,1,0,0
"NM_000090",1,0,13,0,0,0,0,1,1,2,0,1
"NM_000091",261,141,624,509,374,75,947,320,314,172,143,363
"NM_000092",112,48,224,508,381,78,486,158,160,172,104,248
"NM_000094",65,80,287,38,40,27,43,25,12,59,53,60
"NM_000095",4,0,2,0,0,0,0,1,0,0,0,1
"NM_000097",1353,1184,2705,1517,1564,494,1754,1050,784,2086,1690,1679
"NM_000101",1147,4340,2608,644,5038,421,842,2485,417,1405,3925,1038
"NM_000102",0,0,2,0,0,0,0,0,0,1,0,0
"NM_000104",1259,1209,4902,1122,737,178,2139,882,1099,4011,2885,3616
"NM_000110",623,527,1264,135,282,67,352,279,175,590,478,180
"NM_000111",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000112",223,142,492,284,251,68,315,157,119,326,262,247
"NM_000113",376,384,715,327,497,165,376,263,182,557,487,432
"NM_000115",2,1,6,1,3,0,4,5,1,7,12,7
"NM_000118",142,57,248,119,34,41,46,4,26,218,44,100
"NM_000122",770,732,1379,676,814,301,723,460,318,840,634,622
"NM_000124",631,488,1722,808,552,110,1381,469,588,804,537,834
"NM_000126",1693,2670,3299,1544,2706,487,1855,1671,669,2509,2894,1614
"NM_000127",284,249,432,186,280,66,271,148,78,276,228,153
"NM_000128",0,0,1,0,0,0,0,0,0,0,0,2
"NM_000129",145,175,218,181,220,26,29,10,5,120,104,16
"NM_000130",1,5,12,2,0,0,0,0,0,4,1,2
"NM_000131",1,0,4,0,0,0,1,0,0,0,0,0
"NM_000134",0,0,0,0,0,0,0,0,0,0,0,0
"NM_000136",204,149,326,208,206,84,200,88,42,284,172,181
"NM_000137",365,950,741,255,781,126,306,542,184,414,742,299
"NM_000138",1000,829,1902,1275,920,337,703,326,191,1298,758,770
"NM_000141",2,2,5,0,0,0,0,0,0,2,0,0
"NM_000143",950,1346,1663,938,1631,366,1010,918,404,1257,1784,896
"NM_000145",1,0,0,1,0,0,0,0,0,0,0,1
"NM_000147",507,949,1497,622,1002,325,637,449,365,902,1014,631
"NM_000148",2,7,18,0,3,0,7,4,2,2,1,1
"NM_000149",5,1,24,0,0,1,0,3,0,2,0,0
"NM_000150",3,3,16,0,0,0,0,1,0,0,0,0
"NM_000152",172,130,515,154,119,47,164,87,139,293,166,250
"NM_000154",95,380,359,74,270,33,92,343,86,149,392,139
"NM_000155",320,372,708,188,346,117,255,255,195,297,314,352
"NM_000156",58,116,143,40,176,49,34,98,20,134,206,72
"NM_000158",3759,3199,8575,4410,3498,850,3022,1370,1158,6298,4773,3125
"NM_000160",0,0,0,0,0,0,0,0,0,0,0,0
