SRR4098430	SRR4098431	SRR4098432	SRR4098433
DDX11L1	4	1	3	0
WASH7P	55	24	31	61
MIR6859-3	8	1	13	10
MIR6859-2	8	1	13	10
MIR6859-1	8	1	13	10
MIR6859-4	8	1	13	10
MIR1302-2	0	0	0	0
MIR1302-11	0	0	0	0
MIR1302-9	0	0	0	0
MIR1302-10	0	0	0	0
FAM138A	0	0	0	0
FAM138C	0	0	0	0
FAM138F	0	0	0	0
OR4F5	0	0	0	0
LOC729737	84	49	125	116
FAM138D	0	0	0	0
OR4F29	6	7	9	4
OR4F3	6	7	9	4
OR4F16	6	7	9	4
LOC100132287	7	8	9	10
LOC100132062	7	8	9	10
LOC101928626	63	31	37	24
MIR6723	63	25	42	23
LOC100133331	89	30	78	77
LOC100288069	8	11	13	9
FAM87B	4	3	5	4
LINC00115	11	2	20	17
LINC01128	460	241	334	252
FAM41C	0	0	0	0
LOC100130417	3	6	1	17
SAMD11	756	527	537	388
NOC2L	16711	12247	11311	8872
KLHL17	1627	1282	1124	963
PLEKHN1	267	165	284	254
PERM1	75	43	63	48
HES4	1036	709	572	351
ISG15	4174	2961	4283	3710
AGRN	3845	2876	5211	4063
RNF223	33	33	30	23
C1orf159	591	384	441	356
LINC01342	0	0	1	0
MIR200B	1	0	1	1
MIR200A	0	0	0	0
MIR429	7	5	11	15
TTLL10	0	1	2	6
TNFRSF18	604	717	874	621
TNFRSF4	1	3	0	0
SDF4	7688	5553	6051	4614
B3GALT6	452	278	576	370
FAM132A	11	10	15	19
UBE2J2	1947	1420	1631	1100
SCNN1D	32	40	54	43
ACAP3	1079	919	705	563
MIR6726	0	0	0	0
PUSL1	1285	1044	966	534
CPSF3L	3735	2907	2926	2103
MIR6727	6	4	0	5
CPTP	456	397	433	319
TAS1R3	5	7	5	6
DVL1	7430	5586	4923	3280
MIR6808	15	5	5	6
MXRA8	61	53	81	106
AURKAIP1	12436	7170	7657	5201
CCNL2	5255	3817	5233	4366
LOC148413	990	804	890	680
MRPL20	3337	2385	1737	1569
ANKRD65	1	0	8	6
TMEM88B	0	0	0	0
LOC102724312	15	12	37	29
VWA1	2139	1384	1332	835
ATAD3C	47	42	46	11
ATAD3B	3088	1984	1693	1073
ATAD3A	4038	3106	2354	1752
TMEM240	4	4	2	10
SSU72	2541	1688	1781	1536
C1orf233	127	83	99	67
MIB2	2061	1407	1832	1189
MMP23B	0	1	2	7
MMP23A	6	1	1	7
CDK11B	2249	1489	1201	1033
SLC35E2B	574	512	787	642
CDK11A	828	710	684	549
SLC35E2	77	57	151	185
NADK	2380	1714	1981	1443
GNB1	9781	7506	6057	5502
CALML6	9	4	8	16
TMEM52	472	370	497	430
CFAP74	22	63	60	43
GABRD	366	475	429	326
PRKCZ	1564	1069	1652	1331
FAAP20	1420	1136	1645	1242
SKI	1941	1345	1668	1108
MORN1	160	131	117	154
LOC100129534	56	43	46	45
RER1	4333	2891	2858	2247
PEX10	891	661	762	574
PLCH2	22	30	25	33
PANK4	1270	857	1020	801
HES5	0	0	0	0
LOC115110	0	1	0	0
TNFRSF14	3	1	1	0
LOC100996583	3	2	0	8
FAM213B	1109	941	920	541
MMEL1	120	107	112	75
TTC34	0	0	1	0
ACTRT2	0	0	0	0
LINC00982	14	13	31	23
PRDM16	292	230	299	274
MIR4251	0	0	0	0
ARHGEF16	1384	1312	1264	1015
MEGF6	738	519	1027	899
MIR551A	0	0	0	0
TPRG1L	1225	847	1151	791
WRAP73	2307	1633	2676	1992
TP73	821	620	318	204
TP73-AS1	22	14	5	6
CCDC27	0	0	1	0
SMIM1	9	21	30	26
LRRC47	1865	1345	1613	1262
CEP104	987	755	1032	1009
DFFB	534	359	591	409
C1orf174	738	565	347	341
LINC01134	7	1	2	2
LINC01346	0	0	0	0
LOC284661	0	0	0	0
AJAP1	0	0	1	0
MIR4417	0	0	0	0
MIR4689	2	0	1	3
NPHP4	691	504	536	415
KCNAB2	457	480	849	583
CHD5	618	719	443	565
RPL22	4022	2662	2823	2648
LOC102724450	2	4	12	11
RNF207	1230	803	1290	1047
ICMT	4623	3238	1993	1474
LINC00337	33	13	13	11
HES3	0	0	0	0
GPR153	116	134	220	218
ACOT7	4327	3565	4081	3336
HES2	300	250	1552	1311
ESPN	1232	917	1635	1422
MIR4252	0	0	0	0
TNFRSF25	359	283	341	379
PLEKHG5	1069	967	1233	1000
NOL9	1152	660	698	505
