X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.2.sorted.bam
DDX11L1	0	2	3	0	4	1	1	0
WASH7P	7333	10722	5822	5731	11519	9483	5158	4364
MIR6859-1	0	0	0	0	0	0	0	0
MIR1302-2HG	10	6	4	1	8	7	3	4
MIR1302-2	0	0	0	0	0	0	0	0
FAM138A	3	0	0	1	5	0	1	0
OR4F5	0	0	0	0	0	0	0	0
LOC729737	1312	1833	1045	1061	1953	2234	1000	783
LOC100996442	214	325	202	146	397	367	174	130
LOC102725121	0	1	2	0	4	0	2	0
WASH9P	4491	6629	3553	3647	7032	5954	3252	2779
MIR6859-2	0	0	0	0	0	0	0	0
LOC107985721	7	7	3	1	12	6	3	2
LOC112268260	2	2	3	1	3	0	2	2
OR4F29	4	2	0	0	0	1	2	2
LOC100132287	1643	2465	1263	1156	2233	2550	1176	944
LOC105378947	12	23	28	22	16	41	12	27
LOC101928626	0	2	1	0	1	0	1	0
MIR12136	397	669	236	332	662	744	285	255
OR4F16	4	1	0	0	0	2	2	2
LOC100133331	1366	2017	934	976	1776	2031	955	725
LOC107984841	2396	3427	1798	1707	3525	3321	1651	1345
LOC107984847	221	317	173	183	349	308	154	154
LOC107984849	19	17	6	15	10	19	8	12
LOC100288069	740	1012	519	556	1085	1051	480	418
LINC01409	67	117	51	62	129	92	65	30
FAM87B	0	0	2	1	1	1	1	1
LINC00115	173	193	115	104	217	199	79	99
LINC01128	620	930	559	541	1021	908	518	394
LOC107984850	5	2	0	3	5	2	1	0
FAM41C	3	4	1	4	8	4	2	4
LOC284600	29	57	22	36	75	53	33	28
LINC02593	0	0	0	0	0	0	0	0
LOC107985728	0	0	0	0	1	1	2	0
SAMD11	2	4	2	3	2	2	3	0
NOC2L	2388	3462	2268	2520	4317	4064	2014	2079
KLHL17	535	702	402	437	848	797	361	331
PLEKHN1	43	71	51	59	94	108	64	55
PERM1	0	4	1	1	4	2	5	1
HES4	36	87	47	57	104	128	46	37
ISG15	6565	10742	5769	7022	10328	11453	5368	5258
AGRN	2951	4668	3135	3349	5869	6262	3202	2753
LOC100288175	140	183	130	112	203	195	106	78
LOC105378948	20	64	32	22	70	59	35	32
LOC112267874	58	138	68	43	112	100	62	53
RNF223	2	4	0	1	2	2	5	0
C1orf159	1166	1677	953	1166	1980	1780	894	909
LINC01342	2	9	1	1	1	1	0	0
MIR200B	0	0	0	0	1	0	0	0
MIR200A	0	0	0	0	2	1	0	0
MIR429	0	0	0	0	0	0	0	0
TTLL10-AS1	0	1	0	0	0	1	0	0
TTLL10	0	0	0	0	1	1	0	0
TNFRSF18	107	180	88	128	137	136	75	89
TNFRSF4	118	146	103	119	195	200	103	116
SDF4	2614	4029	2149	2682	4301	4139	1927	2131
B3GALT6	247	371	236	232	456	434	177	198
C1QTNF12	55	74	48	52	64	55	46	25
UBE2J2	2397	3704	2144	2201	3855	3617	1890	1614
LINC01786	52	85	57	55	117	72	47	25
SCNN1D	126	202	94	88	208	165	65	67
ACAP3	573	974	604	621	1231	1183	649	490
MIR6726	0	0	0	0	0	0	0	0
SNORD167	40	40	30	22	68	52	27	22
PUSL1	207	304	182	245	385	397	182	168
