GeneID	Chr	Start	End	Strand	Length
1	DDX11L1	chr1	11873	14409	+	2537
2	WASH7P	chr1	14361	29370	-	15010
3	MIR6859-1	chr1	17368	17436	-	69
4	MIR1302-2HG	chr1	29925	31295	+	1371
5	MIR1302-2	chr1	30365	30503	+	139
6	FAM138A	chr1	34610	36081	-	1472
7	OR4F5	chr1	69090	70008	+	919
8	LOC729737	chr1	134772	140566	-	5795
9	LOC100996442	chr1	164704	174659	-	9956
10	LOC102725121	chr1	182387	184878	+	2492
11	WASH9P	chr1	184877	199860	-	14984
12	MIR6859-2	chr1	187890	187958	-	69
13	LOC107985721	chr1	200441	203983	+	3543
14	LOC112268260	chr1	357514	358325	-	812
15	OR4F29	chr1	450739	451678	-	940
16	LOC100132287	chr1	490755	495445	-	4691
17	LOC105378947	chr1	586286	611297	-	25012
18	LOC101928626	chr1	627379	629009	-	1631
19	MIR12136	chr1	632614	632685	-	72
20	OR4F16	chr1	685715	686654	-	940
21	LOC100133331	chr1	725758	730351	-	4594
22	LOC107984841	chr1	732158	744785	-	12628
23	LOC107984847	chr1	735565	738953	-	3389
24	LOC107984849	chr1	739961	740334	-	374
25	LOC100288069	chr1	764864	778688	-	13825
26	LINC01409	chr1	803840	809798	+	5959
27	FAM87B	chr1	817370	819834	+	2465
28	LINC00115	chr1	826205	827522	-	1318
29	LINC01128	chr1	827590	859446	+	31857
30	LOC107984850	chr1	860184	868202	+	8019
31	FAM41C	chr1	868070	876802	-	8733
32	LOC284600	chr1	905114	914782	+	9669
33	LINC02593	chr1	916817	919692	-	2876
34	LOC107985728	chr1	921012	924937	-	3926
35	SAMD11	chr1	925730	944574	+	18845
36	NOC2L	chr1	944202	959256	-	15055
37	KLHL17	chr1	960102	965719	+	5618
38	PLEKHN1	chr1	966481	975865	+	9385
39	PERM1	chr1	975197	982093	-	6897
40	HES4	chr1	998961	1001052	-	2092
41	ISG15	chr1	1013496	1014540	+	1045
42	AGRN	chr1	1020101	1056119	+	36019
43	LOC100288175	chr1	1059733	1066453	+	6721
44	LOC105378948	chr1	1065634	1068554	-	2921
45	LOC112267874	chr1	1065634	1071341	-	5708
46	RNF223	chr1	1070966	1074306	-	3341
47	C1orf159	chr1	1081822	1116089	-	34268
48	LINC01342	chr1	1137016	1144056	+	7041
49	MIR200B	chr1	1167103	1167198	+	96
50	MIR200A	chr1	1167862	1167952	+	91
